CVE,CVSS,EPSS,KEV,Priority
CVE-2021-22205,10.0,0.94467,1,187.2335
CVE-2022-22947,10.0,0.94461,1,187.2305
CVE-2020-0796,10.0,0.94438,1,187.219
CVE-2023-40044,10.0,0.94436,1,187.218
CVE-2023-46604,10.0,0.94436,1,187.218
CVE-2019-7609,10.0,0.94423,1,187.2115
CVE-2022-0543,10.0,0.94417,1,187.20850000000002
CVE-2021-41277,10.0,0.94408,1,187.204
CVE-2020-25213,10.0,0.94401,1,187.2005
CVE-2020-6287,10.0,0.94395,1,187.1975
CVE-2024-1212,10.0,0.94363,1,187.1815
CVE-2021-44228,10.0,0.94358,1,187.179
CVE-2019-11510,10.0,0.94357,1,187.17849999999999
CVE-2024-50603,10.0,0.94352,1,187.176
CVE-2023-49103,10.0,0.94329,1,187.1645
CVE-2024-1709,10.0,0.94322,1,187.161
CVE-2024-3400,10.0,0.94297,1,187.1485
CVE-2024-51567,10.0,0.94261,1,187.13049999999998
CVE-2024-45519,10.0,0.94146,1,187.073
CVE-2022-24816,10.0,0.94074,1,187.037
CVE-2023-20198,10.0,0.94036,1,187.018
CVE-2024-51378,10.0,0.93836,1,186.918
CVE-2022-22536,10.0,0.93833,1,186.91649999999998
CVE-2020-1350,10.0,0.93808,1,186.904
CVE-2023-7028,10.0,0.93786,1,186.893
CVE-2021-22893,10.0,0.93511,1,186.75549999999998
CVE-2022-27593,10.0,0.93149,1,186.5745
CVE-2025-47812,10.0,0.92413,1,186.2065
CVE-2019-10758,9.9,0.94062,1,186.031
CVE-2025-24016,9.9,0.93403,1,185.7015
CVE-2019-1003030,9.9,0.93012,1,185.506
CVE-2019-1003029,9.9,0.92808,1,185.404
CVE-2024-27198,9.8,0.94579,1,185.2895
CVE-2017-1000353,9.8,0.94508,1,185.25400000000002
CVE-2018-7600,9.8,0.94489,1,185.24450000000002
CVE-2018-1000861,9.8,0.94485,1,185.2425
CVE-2023-35078,9.8,0.94482,1,185.24099999999999
CVE-2019-3396,9.8,0.94472,1,185.236
CVE-2019-2725,9.8,0.9447,1,185.235
CVE-2022-46169,9.8,0.94469,1,185.2345
CVE-2020-1938,9.8,0.94469,1,185.2345
CVE-2024-6670,9.8,0.94468,1,185.23399999999998
CVE-2024-23897,9.8,0.94466,1,185.233
CVE-2021-22986,9.8,0.94466,1,185.233
CVE-2022-22963,9.8,0.94462,1,185.231
CVE-2021-44529,9.8,0.94461,1,185.2305
CVE-2019-15107,9.8,0.94461,1,185.2305
CVE-2022-22954,9.8,0.9446,1,185.23
CVE-2021-22005,9.8,0.94457,1,185.2285
CVE-2022-1388,9.8,0.94456,1,185.228
CVE-2020-14882,9.8,0.94454,1,185.227
CVE-2016-10033,9.8,0.94447,1,185.2235
CVE-2019-0708,9.8,0.94445,1,185.2225
CVE-2019-19781,9.8,0.94442,1,185.221
CVE-2022-22965,9.8,0.94441,1,185.22050000000002
CVE-2021-26084,9.8,0.9444,1,185.22
CVE-2022-1040,9.8,0.94439,1,185.21949999999998
CVE-2020-14750,9.8,0.94438,1,185.219
CVE-2023-38035,9.8,0.94438,1,185.219
CVE-2021-36260,9.8,0.94436,1,185.218
CVE-2023-46747,9.8,0.94436,1,185.218
CVE-2024-7593,9.8,0.94436,1,185.218
CVE-2022-24112,9.8,0.94435,1,185.2175
CVE-2022-29464,9.8,0.94434,1,185.21699999999998
CVE-2019-9670,9.8,0.9443,1,185.215
CVE-2022-47966,9.8,0.94427,1,185.2135
CVE-2022-40684,9.8,0.94427,1,185.2135
CVE-2020-5902,9.8,0.94426,1,185.213
CVE-2024-4040,9.8,0.94426,1,185.213
CVE-2024-36401,9.8,0.94425,1,185.2125
CVE-2021-40539,9.8,0.94424,1,185.212
CVE-2023-35082,9.8,0.94423,1,185.2115
CVE-2018-2628,9.8,0.94422,1,185.211
CVE-2018-15961,9.8,0.94422,1,185.211
CVE-2020-11651,9.8,0.94421,1,185.2105
CVE-2022-35405,9.8,0.9442,1,185.21
CVE-2022-30525,9.8,0.9442,1,185.21
CVE-2023-43208,9.8,0.94416,1,185.208
CVE-2020-25223,9.8,0.94415,1,185.2075
CVE-2019-0604,9.8,0.94414,1,185.207
CVE-2021-21985,9.8,0.94412,1,185.206
CVE-2020-7961,9.8,0.94412,1,185.206
CVE-2020-2551,9.8,0.94412,1,185.206
CVE-2020-3952,9.8,0.94411,1,185.2055
CVE-2021-42013,9.8,0.9441,1,185.205
CVE-2022-26134,9.8,0.94408,1,185.204
CVE-2019-16759,9.8,0.94407,1,185.2035
CVE-2019-11580,9.8,0.94406,1,185.203
CVE-2019-7256,9.8,0.94406,1,185.203
CVE-2020-2883,9.8,0.94398,1,185.199
CVE-2022-21587,9.8,0.94397,1,185.1985
CVE-2021-1497,9.8,0.94396,1,185.198
CVE-2022-35914,9.8,0.94395,1,185.1975
CVE-2019-16278,9.8,0.94393,1,185.19650000000001
CVE-2023-20887,9.8,0.94393,1,185.19650000000001
CVE-2022-24706,9.8,0.94392,1,185.196
CVE-2023-24489,9.8,0.94389,1,185.1945
CVE-2020-15505,9.8,0.94388,1,185.19400000000002
CVE-2023-33246,9.8,0.94388,1,185.19400000000002
CVE-2020-16846,9.8,0.94387,1,185.1935
CVE-2021-35464,9.8,0.94386,1,185.193
CVE-2012-1823,9.8,0.94386,1,185.193
